antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'business skills'}),frozenset({'other'}),0.19039,0.997665,0.19039,1.0,1.0023404649857417,1.0,0.00044456065000000877,inf,0.0028841046923828093,0.19083560112863537,1.0,0.5954178005643177
frozenset({'business skills'}),frozenset({'soft skills'}),0.19039,0.474505,0.11182,0.5873207626450969,1.237754634082037,1.0,0.021478993050000006,1.2733739728904163,0.2372567438536373,0.20217872802061204,0.21468474989314246,0.41148843371398797
frozenset({'soft skills'}),frozenset({'other'}),0.474505,0.997665,0.474455,0.9998946270323811,1.0022348453963816,1.0,0.0010579691750000064,22.159383499992444,0.004243355311767762,0.47554161258475625,0.9548723907413607,0.7377300361735956
frozenset({'other'}),frozenset({'soft skills'}),0.997665,0.474505,0.474455,0.4755654453148101,1.0022348453963816,1.0,0.0010579691750000064,1.002022073689341,0.9549730190824083,0.47554161258475625,0.0020179931584698003,0.7377300361735956
frozenset({'specialized industry skills'}),frozenset({'other'}),0.255495,0.997665,0.25533,0.9993541947983325,1.001693148299612,1.0,0.0004315808249999442,3.6156413636357208,0.002270349284528691,0.2558852710381528,0.7234238965021557,0.627640892861571
frozenset({'tech skills'}),frozenset({'other'}),0.02454,0.997665,0.02454,1.0,1.0023404649857417,1.0,5.730089999999785e-05,inf,0.002393742439464368,0.0245974350107501,1.0,0.512298717505375
frozenset({'specialized industry skills'}),frozenset({'soft skills'}),0.255495,0.474505,0.13814,0.5406759427777451,1.1394525722126112,1.0,0.01690634502499999,1.1440615655489752,0.16438517842934716,0.23339979049099455,0.1259211653350557,0.41590018885760316
frozenset({'tech skills'}),frozenset({'soft skills'}),0.02454,0.474505,0.013555,0.5523634881825591,1.164083599082326,1.0,0.0019106473000000002,1.1739323896222122,0.1445012279691093,0.027920245525139546,0.14816218647667262,0.2904650498520197
"frozenset({'business skills', 'soft skills'})",frozenset({'other'}),0.11182,0.997665,0.11182,1.0,1.0023404649857417,1.0,0.00026109970000000315,inf,0.0026289716048549035,0.11208171079470564,1.0,0.5560408553973528
"frozenset({'business skills', 'other'})",frozenset({'soft skills'}),0.19039,0.474505,0.11182,0.5873207626450969,1.237754634082037,1.0,0.021478993050000006,1.2733739728904163,0.2372567438536373,0.20217872802061204,0.21468474989314246,0.41148843371398797
frozenset({'business skills'}),"frozenset({'soft skills', 'other'})",0.19039,0.474455,0.11182,0.5873207626450969,1.2378850737058245,1.0,0.02148851254999999,1.2734951323660428,0.23736189615606848,0.20219700736856383,0.21475946426109452,0.4115008509139744
"frozenset({'business skills', 'specialized industry skills'})",frozenset({'other'}),0.04676,0.997665,0.04676,1.0,1.0023404649857417,1.0,0.00010918459999999935,inf,0.002449540514455946,0.04686944014273329,1.0,0.5234347200713666
"frozenset({'business skills', 'specialized industry skills'})",frozenset({'soft skills'}),0.04676,0.474505,0.028125,0.601475620188195,1.2675854209928135,1.0,0.0059371462,1.3186018889187014,0.2214537068897188,0.057032485703856925,0.241620986285683,0.3303739572369095
"frozenset({'specialized industry skills', 'soft skills'})",frozenset({'other'}),0.13814,0.997665,0.13814,1.0,1.0023404649857417,1.0,0.0003225568999999928,inf,0.002709256723829796,0.13846331183313038,1.0,0.5692316559165652
"frozenset({'specialized industry skills', 'other'})",frozenset({'soft skills'}),0.25533,0.474505,0.13814,0.5410253397563938,1.140188912142957,1.0,0.01698463835000001,1.1449324886935748,0.1651098543238519,0.23346487632986593,0.1265860564922478,0.41607488734692744
frozenset({'specialized industry skills'}),"frozenset({'soft skills', 'other'})",0.255495,0.474455,0.13814,0.5406759427777451,1.1395726523648082,1.0,0.01691911977499999,1.1441704211580246,0.1645093909398002,0.23341950963991823,0.12600432461110866,0.4159155287968459
"frozenset({'tech skills', 'soft skills'})",frozenset({'other'}),0.013555,0.997665,0.013555,1.0,1.0023404649857417,1.0,3.1650924999999594e-05,inf,0.0023670858486788114,0.013586725002881727,1.0,0.5067933625014409
"frozenset({'tech skills', 'other'})",frozenset({'soft skills'}),0.02454,0.474505,0.013555,0.5523634881825591,1.164083599082326,1.0,0.0019106473000000002,1.1739323896222122,0.1445012279691093,0.027920245525139546,0.14816218647667262,0.2904650498520197
frozenset({'tech skills'}),"frozenset({'soft skills', 'other'})",0.02454,0.474455,0.013555,0.5523634881825591,1.1642062749524382,1.0,0.0019118742999999997,1.1740440873918978,0.14459402531936752,0.027923121292023727,0.14824322975684115,0.29046655508494595
"frozenset({'business skills', 'soft skills', 'specialized industry skills'})",frozenset({'other'}),0.028125,0.997665,0.028125,1.0,1.0023404649857417,1.0,6.567187499999932e-05,inf,0.0024025723472668563,0.028190825577723986,1.0,0.514095412788862
"frozenset({'business skills', 'specialized industry skills', 'other'})",frozenset({'soft skills'}),0.04676,0.474505,0.028125,0.601475620188195,1.2675854209928135,1.0,0.0059371462,1.3186018889187014,0.2214537068897188,0.057032485703856925,0.241620986285683,0.3303739572369095
"frozenset({'business skills', 'specialized industry skills'})","frozenset({'soft skills', 'other'})",0.04676,0.474455,0.028125,0.601475620188195,1.2677190043064042,1.0,0.0059394841999999975,1.3187273517574454,0.22154091356263308,0.057038268875864453,0.24169313795811015,0.33037708041478125
