job_title,num_postings,top_skills,top_skills_with_freq,skills_json
Customer Service Representative,314,"customer service, communication, teamwork, problemsolving, attention to detail, problem solving, multitasking, communication skills, time management, data entry","customer service (6.45%), communication (3.88%), teamwork (3.19%), problemsolving (2.45%), attention to detail (1.74%), problem solving (1.61%), multitasking (1.58%), communication skills (1.40%), time management (1.36%), data entry (1.14%)","[('customer service', 0.06445138269402319), ('communication', 0.038804638715432646), ('teamwork', 0.03189116859946477), ('problemsolving', 0.024531668153434435), ('attention to detail', 0.017395182872435324), ('problem solving', 0.016057091882247992), ('multitasking', 0.01583407671721677), ('communication skills', 0.014049955396966993), ('time management', 0.013603925066904549), ('data entry', 0.011373773416592329)]"
Registered Nurse,250,"registered nurse, ahpra registration, nursing, communication, teamwork, aged care, time management, patient care, communication skills, leadership","registered nurse (2.86%), ahpra registration (2.68%), nursing (2.21%), communication (1.51%), teamwork (1.42%), aged care (1.33%), time management (1.01%), patient care (0.97%), communication skills (0.97%), leadership (0.92%)","[('registered nurse', 0.02862294343024566), ('ahpra registration', 0.02681992337164751), ('nursing', 0.02208699571782736), ('communication', 0.015100292990759523), ('teamwork', 0.014198782961460446), ('aged care', 0.01329727293216137), ('time management', 0.010141987829614604), ('patient care', 0.009691232814965067), ('communication skills', 0.009691232814965067), ('leadership', 0.009240477800315528)]"
Executive Assistant,217,"time management, attention to detail, communication skills, communication, executive assistant, microsoft office suite, organizational skills, confidentiality, multitasking, interpersonal skills","time management (2.47%), attention to detail (1.98%), communication skills (1.66%), communication (1.62%), executive assistant (1.55%), microsoft office suite (1.47%), organizational skills (1.45%), confidentiality (1.32%), multitasking (1.25%), interpersonal skills (1.23%)","[('time management', 0.02465986394557823), ('attention to detail', 0.019770408163265307), ('communication skills', 0.016581632653061226), ('communication', 0.016156462585034014), ('executive assistant', 0.015518707482993197), ('microsoft office suite', 0.014668367346938776), ('organizational skills', 0.01445578231292517), ('confidentiality', 0.013180272108843538), ('multitasking', 0.012542517006802721), ('interpersonal skills', 0.012329931972789115)]"
Account Executive,189,"sales, communication, account management, communication skills, negotiation, business development, account executive, saas, prospecting, problem solving","sales (2.76%), communication (1.78%), account management (1.39%), communication skills (1.21%), negotiation (1.18%), business development (1.16%), account executive (1.03%), saas (0.90%), prospecting (0.90%), problem solving (0.88%)","[('sales', 0.027563111798042245), ('communication', 0.01777434312210201), ('account management', 0.013910355486862442), ('communication skills', 0.012107161257083977), ('negotiation', 0.01184956208140134), ('business development', 0.011591962905718702), ('account executive', 0.010303967027305513), ('saas', 0.009015971148892323), ('prospecting', 0.009015971148892323), ('problem solving', 0.008758371973209686)]"
(CAN) Department Manager,174,"attention to detail, communication, leadership, customer service, positive attitude, motivation, teamwork, problemsolving, confidence, problem solving","attention to detail (6.11%), communication (4.87%), leadership (4.83%), customer service (4.73%), positive attitude (4.63%), motivation (4.50%), teamwork (3.36%), problemsolving (2.69%), confidence (2.58%), problem solving (2.45%)","[('attention to detail', 0.06109432695535415), ('communication', 0.048674051695199734), ('leadership', 0.04833836858006042), ('customer service', 0.0473313192346425), ('positive attitude', 0.04632426988922457), ('motivation', 0.04498153742866734), ('teamwork', 0.03356831151393085), ('problemsolving', 0.02685464921114468), ('confidence', 0.025847599865726753), ('problem solving', 0.02450486740516952)]"
(CAN) Department Manager -FR,163,"leadership, motivation, customer service, communication, confidence, problem solving, attention to detail, teamwork, problemsolving, positive attitude","leadership (5.82%), motivation (5.71%), customer service (5.71%), communication (5.67%), confidence (5.06%), problem solving (3.25%), attention to detail (3.03%), teamwork (2.96%), problemsolving (2.82%), positive attitude (2.71%)","[('leadership', 0.058164739884393066), ('motivation', 0.05708092485549133), ('customer service', 0.05708092485549133), ('communication', 0.056719653179190754), ('confidence', 0.05057803468208093), ('problem solving', 0.03251445086705202), ('attention to detail', 0.030346820809248554), ('teamwork', 0.029624277456647398), ('problemsolving', 0.028179190751445087), ('positive attitude', 0.027095375722543353)]"
Assistant Manager,146,"customer service, leadership, communication, sales, training, coaching, teamwork, merchandising, communication skills, problem solving","customer service (4.21%), leadership (3.32%), communication (2.30%), sales (2.15%), training (1.68%), coaching (1.60%), teamwork (1.44%), merchandising (1.13%), communication skills (1.01%), problem solving (1.01%)","[('customer service', 0.042138119391338276), ('leadership', 0.03316426063207179), ('communication', 0.02301989855637924), ('sales', 0.02145922746781116), ('training', 0.016777214202106906), ('coaching', 0.015996878657822865), ('teamwork', 0.01443620756925478), ('merchandising', 0.01131486539211861), ('communication skills', 0.010144362075692548), ('problem solving', 0.010144362075692548)]"
Senior Educator,135,"national quality standards, early years learning framework, diploma in early childhood, early childhood education, working with children check, diploma in early childhood education, child safe organisation, senior educator, knowledge of early years learning framework, collaboration","national quality standards (10.92%), early years learning framework (9.32%), diploma in early childhood (8.19%), early childhood education (3.48%), working with children check (2.82%), diploma in early childhood education (2.73%), child safe organisation (1.69%), senior educator (1.51%), knowledge of early years learning framework (1.32%), collaboration (1.22%)","[('national quality standards', 0.10922787193973635), ('early years learning framework', 0.09322033898305085), ('diploma in early childhood', 0.08192090395480225), ('early childhood education', 0.03483992467043315), ('working with children check', 0.02824858757062147), ('diploma in early childhood education', 0.027306967984934087), ('child safe organisation', 0.01694915254237288), ('senior educator', 0.015065913370998116), ('knowledge of early years learning framework', 0.013182674199623353), ('collaboration', 0.01224105461393597)]"
Business Analyst,132,"business analysis, project management, data analysis, communication, requirements gathering, communication skills, analytical skills, stakeholder management, problem solving, business analyst","business analysis (2.74%), project management (1.67%), data analysis (1.35%), communication (1.22%), requirements gathering (1.08%), communication skills (1.01%), analytical skills (0.90%), stakeholder management (0.83%), problem solving (0.80%), business analyst (0.73%)","[('business analysis', 0.02744008336227857), ('project management', 0.01667245571378951), ('data analysis', 0.013546370267453978), ('communication', 0.012156998957971519), ('requirements gathering', 0.01076762764848906), ('communication skills', 0.010072941993747829), ('analytical skills', 0.009030913511635985), ('stakeholder management', 0.008336227856894755), ('problem solving', 0.00798888502952414), ('business analyst', 0.007294199374782911)]"
Business Development Manager,131,"business development, sales, communication, negotiation, customer service, relationship building, problem solving, networking, communication skills, time management","business development (3.87%), sales (3.05%), communication (2.31%), negotiation (1.92%), customer service (1.33%), relationship building (1.21%), problem solving (1.10%), networking (1.06%), communication skills (1.06%), time management (1.02%)","[('business development', 0.03874755381604697), ('sales', 0.030528375733855185), ('communication', 0.02309197651663405), ('negotiation', 0.019178082191780823), ('customer service', 0.013307240704500978), ('relationship building', 0.01213307240704501), ('problem solving', 0.010958904109589041), ('networking', 0.010567514677103719), ('communication skills', 0.010567514677103719), ('time management', 0.010176125244618396)]"
