skill,category,difficulty,estimated_weeks,estimated_hours,priority_score,priority_level,courses,num_courses
excel,programming,Easy,3,120,0.965,Critical,"Udemy excel, Coursera excel",2
teamwork,programming,Easy,2,80,0.757,Critical,"Udemy teamwork, Coursera teamwork",2
leadership,programming,Easy,8,320,0.747,High,"Udemy leadership, Coursera leadership",2
problem solving,programming,Medium,6,240,0.736,High,"Udemy problem solving, Coursera problem solving",2
time management,soft_skills,Easy,2,80,0.727,High,"Udemy time management, Coursera time management",2
communication,programming,Easy,4,160,0.711,High,"Udemy communication, Coursera communication",2
angular,programming,Hard,12,480,0.5,Medium,"Udemy angular, Coursera angular",2
agile,soft_skills,Easy,2,80,0.5,Medium,"Udemy agile, Coursera agile",2
aws,cloud,Medium,10,400,0.5,Medium,"AWS Training & Certification, A Cloud Guru, Linux Academy AWS",4
ansible,devops,Medium,6,240,0.5,Medium,"Udemy ansible, Coursera ansible",2
cassandra,programming,Hard,10,400,0.5,Medium,"Udemy cassandra, Coursera cassandra",2
computer vision,programming,Hard,18,720,0.5,Medium,"Udemy computer vision, Coursera computer vision",2
deep learning,programming,Hard,20,800,0.5,Medium,"Udemy deep learning, Coursera deep learning",2
css,programming,Easy,2,80,0.5,Medium,"Udemy css, Coursera css",2
azure,programming,Medium,10,400,0.5,Medium,"Udemy azure, Coursera azure",2
c#,programming,Hard,12,480,0.5,Medium,"Udemy c#, Coursera c#",2
c++,programming,Hard,16,640,0.5,Medium,"Udemy c++, Coursera c++",2
asp.net,other,Hard,6,240,0.5,Medium,"Udemy asp.net, Coursera asp.net",2
elasticsearch,programming,Medium,6,240,0.5,Medium,"Udemy elasticsearch, Coursera elasticsearch",2
dynamodb,databases,Medium,4,160,0.5,Medium,"Udemy dynamodb, Coursera dynamodb",2
docker,programming,Medium,6,240,0.5,Medium,"Docker Official Documentation, Pluralsight Docker, Udemy Docker Mastery",4
django,programming,Medium,10,400,0.5,Medium,"Udemy django, Coursera django",2
